ReferencedEpisodeId,ReferencingEpisodeId,ReferenceText
21,61,"Future Ted mentions that he enjoyed his 30th birthday apart from ""the thing with the goat"". It is revealed in The Goat that the goat incident actually occured on his 31st birthday, as seen in The Leap."
21,88,"Future Ted mentions that he enjoyed his 30th birthday apart from ""the thing with the goat"". It is revealed in The Goat that the goat incident actually occured on his 31st birthday, as seen in The Leap."
21,50,"Marshall eventually gets a job at Nicholson, Hewitt, and West, the company which Butterfield works for, in I'm Not That Guy."
21,134,"Barney gets into a prank war with Marshall in The Perfect Cocktail, and sends him pictures of, presumably, himself doing disgusting things to Marshall's stuff, as he and Butterfield do to each other here."
21,135,"When Lily asks Ted to swear on his future children, he swears ""on Luke and Leia"". He mentions wanting to name his future children Luke and Leia again in Landmarks. As revealed in Unpause, he and the Mother eventually name their children Penny and Luke."
21,199,"When Lily asks Ted to swear on his future children, he swears ""on Luke and Leia"". He mentions wanting to name his future children Luke and Leia again in Landmarks. As revealed in Unpause, he and the Mother eventually name their children Penny and Luke."
176,178,The scene from the start of the episode occurs at the end of Weekend at Barney's.
203,204,"Robin's Mother arrives, which is a focal point in Daisy."
203,206,Barney will be freaking out over forgetting his cornflower blue tie in The End of the Aisle.
115,116,"Robin is still not fully over her break-up with Don in Subway Wars, but gets there after winning the race to get to Gregor's Steakhouse and hitting it off with Max."
115,119,"Lily getting people to tell the truth by asking ""where's the poop?"" is introduced. She does this to Robin and Ted, respectively, in Canning Randy and Something New."
115,184,"Lily getting people to tell the truth by asking ""where's the poop?"" is introduced. She does this to Robin and Ted, respectively, in Canning Randy and Something New."
115,135,"Barney gives Ted a plane while ""putting the moves"" on him. Ted later holds and looks at it in Landmarks when trying to decide whether or not to support the preservation of the Arcadian."
115,136,Ted's building begins construction in Challenge Accepted and is completed by The Final Page - Part One.
115,197,"Marshall mentions his ""all-lawyer funk band"" and reveals its ridiculous name, ""The Funk, the Whole Funk, and Nothing but the Funk"", to the Mother in Bass Player Wanted to get her to tell him her band's name (Superfreakonomics)."
5,11,"When listing things that are never as good as they're supposed to be, Ted mentions New Year's Eve. In The Limo, Ted tries to prevent New Year's Eve from being a letdown."
5,26,Okay's bouncer reappears in Ted Mosby: Architect as the bouncer at the club Posers.
5,71,"On the way back from Okay, Lily is asleep in the cab, and in Not a Father's Day, Marshall mentions that Lily always falls asleep in cabs when she's drunk."
5,133,"Okay is mentioned again in Hopeless, where Ted insists that it is lame."
5,180,"In The Time Travelers, Ted sees the coat check girl again, and 20 Years From Now Ted refers to Barney grinding with his cousin."
137,139,"Ted tells Barney that any tie would be better than the Ducky Tie, which is first seen in Ducky Tie."
137,139,"Ted tells Barney that any tie would be better than the Ducky Tie, which is first seen in Ducky Tie."
137,138,"One of the articles in the magazine is titled ""Honeywell & Cootes: Planet Earth's Personal Bodyguard."" Marshall joins the environmental law firm Honeywell & Cootes in The Naked Truth."
137,175,"In P.S. I Love You, Ted meets Jeanette and discovers that she has been stalking him since his magazine article came out."
137,204,"Another one of the magazine articles is titled ""By George: Is Van Smoot Smitten?"" George ""The Captain"" Van Smoot is revealed to be engaged to Becky in Daisy."
137,206,"Barney's bride is revealed to be Robin in The Magician's Code - Part Two, and the flashforward occurs during the events of The End of the Aisle."
137,161,Barney is again seen worrying about whether he picked the right tie for his wedding in Farhampton and Vesuvius.
137,203,Barney is again seen worrying about whether he picked the right tie for his wedding in Farhampton and Vesuvius.
136,145,"Lily eventually gives birth in The Magician's Code - Part One. In Disaster Averted, it is revealed that Marshall and Lily's child was likely conceived in August 2011, while seeking shelter from Hurricane Irene in Barney's apartment, about a month before the events of this episode."
136,205,"In Gary Blauman, Future Ted reveals that Zoey continued her activism, and was once attacked by a hawk she was trying to protect."
136,206,The flashforward to Barney's wedding occurs during the events of The End of the Aisle.
172,178,"Despite burning the playbook, it is revealed that Barney has a backup in Weekend at Barney's, and that he has it memorized, seen in Sunrise."
172,201,"Despite burning the playbook, it is revealed that Barney has a backup in Weekend at Barney's, and that he has it memorized, seen in Sunrise."
172,182,"Robin will get Barney back for this play 'The Robin', in The Bro Mitzvah."
172,193,"In Platonish, the focal point for 'The Robin' is revealed."
9,15,Mayonnaise being a favorite ingredient amongst the Eriksens is referenced again in Game Night and Atlantic City.
9,30,Mayonnaise being a favorite ingredient amongst the Eriksens is referenced again in Game Night and Atlantic City.
9,25,"In Brunch, Barney mentions that he volunteers serving food at a homeless shelter."
9,44,"Lily tells Marshall and his family that she isn't going to take his last name. In Something Blue, Lily and Marshall discuss not having the same last name, and in Big Days, Lily tells Marshall about his father calling her to inform her he started the process of getting her name changed."
9,113,"Lily tells Marshall and his family that she isn't going to take his last name. In Something Blue, Lily and Marshall discuss not having the same last name, and in Big Days, Lily tells Marshall about his father calling her to inform her he started the process of getting her name changed."
9,53,"Robin informs Ted that Canadians like her celebrate Thanksgiving in October, and in Slapsgiving, the gang makes fun of her for calling Canadian Thanksgiving the ""real Thanksgiving""."
9,74,"Barney complains that he will have to complete his community service by picking up trash on the side of the road after Ted gets them kicked out of the shelter, and he mentions having done this when he and Ted get sued for assault in The Fight."
9,126,The Eriksen Seven Layer Salad is seen again in The Fight and Last Words.
9,79,"Future Ted mentions that ""at 6'4"", Marshall was the runt of the Eriksen clan"". Marshall brings this up again in The Stinsons."
9,125,"Lily's issues with her in-laws, particularly Marshall's mother, come up again in The Stinsons, Big Days, and Bad News. Despite Lily and her mother-in-law appearing to resolve some of the issues between them in Last Words, they continue to persist, as seen in The Drunk Train and Who Wants to Be a Godparent?."
9,152,"Lily's issues with her in-laws, particularly Marshall's mother, come up again in The Stinsons, Big Days, and Bad News. Despite Lily and her mother-in-law appearing to resolve some of the issues between them in Last Words, they continue to persist, as seen in The Drunk Train and Who Wants to Be a Godparent?."
9,164,"Lily's issues with her in-laws, particularly Marshall's mother, come up again in The Stinsons, Big Days, and Bad News. Despite Lily and her mother-in-law appearing to resolve some of the issues between them in Last Words, they continue to persist, as seen in The Drunk Train and Who Wants to Be a Godparent?."
9,81,"Lily being a gourmet cook, first mentioned here when she offers to make a frisée and endive salad with a coriander lime vinaigrette instead of the Eriksen Seven Layer Salad, is brought up again in The Front Porch and The Sexless Innkeeper."
9,92,"Lily being a gourmet cook, first mentioned here when she offers to make a frisée and endive salad with a coriander lime vinaigrette instead of the Eriksen Seven Layer Salad, is brought up again in The Front Porch and The Sexless Innkeeper."
9,101,"Lily's hips not being ""Eriksen baby compliant"" is again referenced in later episodes, including Jenkins and Home Wreckers."
9,108,"Lily's hips not being ""Eriksen baby compliant"" is again referenced in later episodes, including Jenkins and Home Wreckers."
9,116,"Marshall's father mentions that Eriksen men are extremely fertile, claiming that their ""swimmers"" have ""two tails and a drillbit for a head"". In Subway Wars, Marshall mentions that Eriksen men are ""hella fertile""."
9,118,"Barney calls the Thanksgiving dinner at the Lusty Leopard ""surprisingly good"", and in Baby Talk, Marshall is seen agreeing with Barney that the strip club's prime rib was ""surprisingly good""."
9,197,"In Bass Player Wanted, Robin tells Lily that the reason Barney wants Marshall to accept the judgeship offered to him in Something New is that he has a penchant for getting arrested for public urination."
9,184,"In Bass Player Wanted, Robin tells Lily that the reason Barney wants Marshall to accept the judgeship offered to him in Something New is that he has a penchant for getting arrested for public urination."
32,42,"At James' wedding a year later, Ted and Robin do not leave the reception when Lily and Marshall do, implying that they now have single stamina. This alludes to their break-up in Showdown, the story of which they share with Barney in Something Blue."
32,44,"At James' wedding a year later, Ted and Robin do not leave the reception when Lily and Marshall do, implying that they now have single stamina. This alludes to their break-up in Showdown, the story of which they share with Barney in Something Blue."
32,54,"Barney mentions leaving out James' ""hetero college phase"" in his best man speech. In The Yips, Barney tells the gang about going to James for advice about women after Shannon broke up with him in 1998 (as seen in Game Night), explaining that it was ""before he was gay""."
32,15,"Barney mentions leaving out James' ""hetero college phase"" in his best man speech. In The Yips, Barney tells the gang about going to James for advice about women after Shannon broke up with him in 1998 (as seen in Game Night), explaining that it was ""before he was gay""."
32,59,"In The Chain of Screaming, Marshall indicates that Barney thinks he and James have the same father, implying that he believes his mother despite her conflicting stories on the topic. Her dishonesty with them, along with Barney blindly believing her regardless, comes up again in Showdown and Cleaning House."
32,114,"In The Chain of Screaming, Marshall indicates that Barney thinks he and James have the same father, implying that he believes his mother despite her conflicting stories on the topic. Her dishonesty with them, along with Barney blindly believing her regardless, comes up again in Showdown and Cleaning House."
32,63,Ted and Marshall get hit on by several different men at the gay bar. Marshall brings up how gay guys love him in Everything Must Go.
32,72,"Marshall's enjoyment of ""girly"" drinks is referenced again in Woooo! and The Time Travelers."
32,180,"Marshall's enjoyment of ""girly"" drinks is referenced again in Woooo! and The Time Travelers."
32,75,"When the gang tries to encourage Barney to support James' decision, Ted mentions supporting his sister's marriage despite her husband wearing ""sandals and socks"". When Ted's sister Heather moves to New York in Little Minnesota, he tells Robin that she once got married for 5 days."
32,147,"James and Tom's son is named Eli, as mentioned in Cleaning House. Eli is seen again in The Rebound Girl, by which time James and Tom have also adopted a daughter named Sadie."
32,180,"Barney complains about being left out as the only single person in a group of couples, which Future Ted also points out. The same thing happens to Ted in The Time Travelers."
32,186,"James reveals in Coming Back that he and Tom are getting divorced. They eventually get back together, as revealed in Gary Blauman."
32,205,"James reveals in Coming Back that he and Tom are getting divorced. They eventually get back together, as revealed in Gary Blauman."
16,17,"Marshall starts his internship at Barney's company in Life Among the Gorillas, where its name, AltruCell, is revealed."
16,18,"Future Ted mentions that Ted and Victoria's long-distance relationship will not work, foreshadowing the events of Nothing Good Happens After 2 A.M.."
16,61,"Barney mentions that his company gets sued a lot. AltruCell and its subsidiaries engaging in unsavory and criminal activities is referenced again in many episodes, including The Goat, Last Cigarette Ever, and Architect of Destruction."
16,99,"Barney mentions that his company gets sued a lot. AltruCell and its subsidiaries engaging in unsavory and criminal activities is referenced again in many episodes, including The Goat, Last Cigarette Ever, and Architect of Destruction."
16,117,"Barney mentions that his company gets sued a lot. AltruCell and its subsidiaries engaging in unsavory and criminal activities is referenced again in many episodes, including The Goat, Last Cigarette Ever, and Architect of Destruction."
16,66,"Barney starts working at Goliath National Bank in The Best Burger in New York, after AltruCell buys them out in a hostile take-over."
16,74,"Marshall claims that he is ""not much of a fighter"", but this is proven to be untrue in The Fight. Also, he previously said he had never been in a fight before in Sweet Taste of Liberty."
16,3,"Marshall claims that he is ""not much of a fighter"", but this is proven to be untrue in The Fight. Also, he previously said he had never been in a fight before in Sweet Taste of Liberty."
16,106,"Lily's college semester in Paris, first discussed here, comes up again in Say Cheese when Lily brings up Ted ruining his and Marshall's trip to Paris to visit her by bringing his then-girlfriend Karen and breaking up with her on the flight."
194,196,The picture Barney gives to Ted for him to protect is given to Robin in The Rehearsal Dinner.
194,206,"As arranged in this episode, Sam goes on to perform Barney and Robin's wedding ceremony in The End of the Aisle."
177,204,"Ted finds a picture on The Captains desk that has a picture of Becky in the corner. In Daisy, it is revealed that he is engaged to her."
177,181,Lily's new job as an art consultant will result in an offer to go live in Rome for a year in Romeward Bound.
187,201,"Robin almost finds out about Ted moving to Chicago, she will find out in Sunrise."
13,14,"Lily learns that Robin likes Ted. Barney finds out in Zip, Zip, Zip, and Ted and Marshall find out in Nothing Good Happens After 2 A.M.. Also, in Game Night, Future Ted mentions that not every secret was told that night while Robin smiles at the doormat Ted bought her to replace the one he threw up on."
13,18,"Lily learns that Robin likes Ted. Barney finds out in Zip, Zip, Zip, and Ted and Marshall find out in Nothing Good Happens After 2 A.M.. Also, in Game Night, Future Ted mentions that not every secret was told that night while Robin smiles at the doormat Ted bought her to replace the one he threw up on."
13,15,"Lily learns that Robin likes Ted. Barney finds out in Zip, Zip, Zip, and Ted and Marshall find out in Nothing Good Happens After 2 A.M.. Also, in Game Night, Future Ted mentions that not every secret was told that night while Robin smiles at the doormat Ted bought her to replace the one he threw up on."
13,49,"Victoria tells Ted that they shouldn't kiss, because he might use too much tongue and break the spell, and in How I Met Everyone Else, at his 20th college reunion, Ted is dismayed to discover that Alexa Leskys thought he used too much tongue when they made out at their freshman orientation party."
13,53,"Marshall's apparent fixation with food is referenced again in several future episodes, including Slapsgiving, The Best Burger in New York, and Sorry, Bro."
13,66,"Marshall's apparent fixation with food is referenced again in several future episodes, including Slapsgiving, The Best Burger in New York, and Sorry, Bro."
13,80,"Marshall's apparent fixation with food is referenced again in several future episodes, including Slapsgiving, The Best Burger in New York, and Sorry, Bro."
13,139,"In Ducky Tie, Ted and Victoria discuss her theory about the ""drumroll"" before a kiss."
180,182,Future Ted mentions Barney and Robin arguing over the catering for their wedding. Robin will give Barney money for the caterer in The Bro Mitzvah.
72,82,"Ted's design for the new GNB Headquarters is originally commissioned in this episode, scrapped in Old King Clancy, recommissioned in Unfinished, and under construction from Challenge Accepted to The Final Page - Part Two, where it is finally completed."
72,115,"Ted's design for the new GNB Headquarters is originally commissioned in this episode, scrapped in Old King Clancy, recommissioned in Unfinished, and under construction from Challenge Accepted to The Final Page - Part Two, where it is finally completed."
72,136,"Ted's design for the new GNB Headquarters is originally commissioned in this episode, scrapped in Old King Clancy, recommissioned in Unfinished, and under construction from Challenge Accepted to The Final Page - Part Two, where it is finally completed."
72,88,"In The Leap, Ted's job is threatened by Sven again, and this time he loses business to them, as revealed when the owners of the restaurant Rib Town unveil the design they chose over Ted's: Sven's Tyrannosaurus Rex design for GNB, with a cowboy hat."
72,98,Barney mentions Giddy Ups in The Window.
72,89,"While Robin says that Lily can't ""Woo!"", she does after discovering Barney and Robin's relationship in Definitions."
72,93,"Robin gets annoyed at Lily for always bringing Marshall whenever they hang out. Ted later gets irritated at Marshall doing this with Lily in Duel Citizenship. Marshall and Lily's co-dependence was previously discussed in Showdown, and is again in Perfect Week."
72,42,"Robin gets annoyed at Lily for always bringing Marshall whenever they hang out. Ted later gets irritated at Marshall doing this with Lily in Duel Citizenship. Marshall and Lily's co-dependence was previously discussed in Showdown, and is again in Perfect Week."
72,102,"Robin gets annoyed at Lily for always bringing Marshall whenever they hang out. Ted later gets irritated at Marshall doing this with Lily in Duel Citizenship. Marshall and Lily's co-dependence was previously discussed in Showdown, and is again in Perfect Week."
72,132,Barney confuses Sweden with France when making fun of Sven. He later mistakes Italy for Spain in The Exploding Meatball Sub.
120,123,Ted accepts the Captain's standing offer to join him on his boat in The Mermaid Theory.
120,127,"Zoey and the Captain get divorced by Oh Honey, where she and Ted start dating."
120,131,"Barney eventually meets his father in Legendaddy, and him being in Barney's life until he was six is mentioned in Hopeless."
120,133,"Barney eventually meets his father in Legendaddy, and him being in Barney's life until he was six is mentioned in Hopeless."
120,132,"Future Ted hints that Corporate Marshall will eventually go ""extinct"", foreshadowing him quitting GNB in The Exploding Meatball Sub and transitioning into environmental law in The Naked Truth."
120,138,"Future Ted hints that Corporate Marshall will eventually go ""extinct"", foreshadowing him quitting GNB in The Exploding Meatball Sub and transitioning into environmental law in The Naked Truth."
120,135,"Though Zoey promises to erase the recording of Ted bad-mouthing GNB and praising the Arcadian, she eventually uses it against him at a hearing before the Landmarks Preservation Committee in Landmarks."
116,117,"Robin continues to date Max until Architect of Destruction, where they break up."
116,125,"Lily and Marshall worry about not having conceived a child yet, which comes up again in Bad News."
116,136,Lily uses her ability to speak conductor again in Challenge Accepted.
116,197,"The folk song Marshall makes up, ""Marshall vs. the Machine"", is heard again in Bass Player Wanted while he tries to run from his broken down bus to the Farhampton Inn, before being given a lift by the Mother."
122,127,"Ted eventually develops feelings for Zoey by Oh Honey, where he discovers that she and the Captain have gotten divorced, and they start dating."
162,165,"Future Ted mentions that He and Victoria will also break up, which occurs in The Autumn of Break-Ups, and that Robin and Nick will break up, which occurs in Splitsville."
162,166,"Future Ted mentions that He and Victoria will also break up, which occurs in The Autumn of Break-Ups, and that Robin and Nick will break up, which occurs in Splitsville."
57,63,"In Everything Must Go, Abby is revealed to be the mystery woman who has been sabotaging his sex life since The Bracket."
57,58,"In Everything Must Go, Abby is revealed to be the mystery woman who has been sabotaging his sex life since The Bracket."
189,196,Ted will give Barney and Robin the other two wedding gifts in The Rehearsal Dinner and The End of the Aisle.
189,206,Ted will give Barney and Robin the other two wedding gifts in The Rehearsal Dinner and The End of the Aisle.
189,204,"Barney says that Lily does look a little fat, around the hips, we learn that she is actually pregnant in Daisy."
189,206,Lily kneeing Barney in the groin after Barney's honeymoon shows that he and Robin do get married as seen in The End of the Aisle.
189,192,Cassie will fall on the toy car on the stairs in The Lighthouse.
189,205,Barney will give James his ring back in Gary Blauman.
189,194,William Zabka will try to sabotage Ted so he can become the best man again in Mom and Dad.
189,192,Robin and Loretta's conflict will also be resolved in The Lighthouse.
23,24,"Ted taking Marshall's side in his and Lily's break-up is referenced again in The Scorpion and the Toad, and leads to conflict between him and Lily in How Lily Stole Christmas."
23,33,"Ted taking Marshall's side in his and Lily's break-up is referenced again in The Scorpion and the Toad, and leads to conflict between him and Lily in How Lily Stole Christmas."
23,40,"Robin and Ted's opposing opinions about guns are established, and referenced again in Moving Day, when Robin tries to cancel her subscription to Guns & Ammo because of Ted moving in with her. Robin being a ""gun nut"" is also referenced again in several episodes, including Ted Mosby: Architect, Little Boys, and Not a Father's Day, and Ted disliking guns is referenced again in Sunrise."
23,26,"Robin and Ted's opposing opinions about guns are established, and referenced again in Moving Day, when Robin tries to cancel her subscription to Guns & Ammo because of Ted moving in with her. Robin being a ""gun nut"" is also referenced again in several episodes, including Ted Mosby: Architect, Little Boys, and Not a Father's Day, and Ted disliking guns is referenced again in Sunrise."
23,48,"Robin and Ted's opposing opinions about guns are established, and referenced again in Moving Day, when Robin tries to cancel her subscription to Guns & Ammo because of Ted moving in with her. Robin being a ""gun nut"" is also referenced again in several episodes, including Ted Mosby: Architect, Little Boys, and Not a Father's Day, and Ted disliking guns is referenced again in Sunrise."
23,71,"Robin and Ted's opposing opinions about guns are established, and referenced again in Moving Day, when Robin tries to cancel her subscription to Guns & Ammo because of Ted moving in with her. Robin being a ""gun nut"" is also referenced again in several episodes, including Ted Mosby: Architect, Little Boys, and Not a Father's Day, and Ted disliking guns is referenced again in Sunrise."
23,201,"Robin and Ted's opposing opinions about guns are established, and referenced again in Moving Day, when Robin tries to cancel her subscription to Guns & Ammo because of Ted moving in with her. Robin being a ""gun nut"" is also referenced again in several episodes, including Ted Mosby: Architect, Little Boys, and Not a Father's Day, and Ted disliking guns is referenced again in Sunrise."
23,41,"In Bachelor Party, Lily reveals that she returned to New York after Barney visited her in San Francisco and convinced her to go back to New York and Marshall."
23,49,"Marshall reveals that he was so high on his first day of college that he thought Ted was the Dean, as seen in How I Met Everyone Else."
23,61,"Barney tells Marshall that he needs to get rid of the ""BPEGs"" of Lily (i.e. the mental image of her breasts) in order to get over her. In The Goat, he mentions mentally storing Robin's breasts in his ""BPEG folder""."
23,62,"In Rebound Bro, Lily mentions that the longest period she and Marshall went without having sex was during her summer in San Francisco."
23,94,Marshall disliking horror films comes up again in Bagpipes and Baby Talk.
23,118,Marshall disliking horror films comes up again in Bagpipes and Baby Talk.
23,105,"Robin's method for getting over heartbreak is to visit the shooting range. She mentions, and is seen, doing this in Of Course."
188,189,The poker game for the groomsman will be the focal point of The Poker Game.
45,53,"The website counting down to the next slap (slapcountdown.com) that Marshall sends Barney reaches zero in Slapsgiving, when the third slap is delivered."
45,55,"Ted gets rid of his butterfly tramp stamp through ten weekly sessions of laser tattoo removal between The Platinum Rule and Ten Sessions, over the course of which he meets, asks out, and eventually starts dating his dermatologist, Stella Zinman."
45,57,"Ted gets rid of his butterfly tramp stamp through ten weekly sessions of laser tattoo removal between The Platinum Rule and Ten Sessions, over the course of which he meets, asks out, and eventually starts dating his dermatologist, Stella Zinman."
45,56,"Ted eventually acquires the yellow umbrella in No Tomorrow (after the Mother leaves it behind at the St. Patrick's Day party, as seen in How Your Mother Met Me), and leaves it in Cindy's and the Mother's apartment in Girls Versus Suits. The umbrella is also seen/referenced in many other episodes, including Right Place, Right Time, Big Days, and Farhampton.
This is the Mother's first on-screen appearance with the yellow umbrella. Previously she appeared in Lucky Penny, with her head obscured by a bridal veil. She is seen again in No Tomorrow, again hidden by the umbrella, her ankle is seen briefly in Girls Versus Suits, and she gets her first proper appearance in Something New, after which she appears throughout Season 9."
45,200,"Ted eventually acquires the yellow umbrella in No Tomorrow (after the Mother leaves it behind at the St. Patrick's Day party, as seen in How Your Mother Met Me), and leaves it in Cindy's and the Mother's apartment in Girls Versus Suits. The umbrella is also seen/referenced in many other episodes, including Right Place, Right Time, Big Days, and Farhampton.
This is the Mother's first on-screen appearance with the yellow umbrella. Previously she appeared in Lucky Penny, with her head obscured by a bridal veil. She is seen again in No Tomorrow, again hidden by the umbrella, her ankle is seen briefly in Girls Versus Suits, and she gets her first proper appearance in Something New, after which she appears throughout Season 9."
45,100,"Ted eventually acquires the yellow umbrella in No Tomorrow (after the Mother leaves it behind at the St. Patrick's Day party, as seen in How Your Mother Met Me), and leaves it in Cindy's and the Mother's apartment in Girls Versus Suits. The umbrella is also seen/referenced in many other episodes, including Right Place, Right Time, Big Days, and Farhampton.
This is the Mother's first on-screen appearance with the yellow umbrella. Previously she appeared in Lucky Penny, with her head obscured by a bridal veil. She is seen again in No Tomorrow, again hidden by the umbrella, her ankle is seen briefly in Girls Versus Suits, and she gets her first proper appearance in Something New, after which she appears throughout Season 9."
45,86,"Ted eventually acquires the yellow umbrella in No Tomorrow (after the Mother leaves it behind at the St. Patrick's Day party, as seen in How Your Mother Met Me), and leaves it in Cindy's and the Mother's apartment in Girls Versus Suits. The umbrella is also seen/referenced in many other episodes, including Right Place, Right Time, Big Days, and Farhampton.
This is the Mother's first on-screen appearance with the yellow umbrella. Previously she appeared in Lucky Penny, with her head obscured by a bridal veil. She is seen again in No Tomorrow, again hidden by the umbrella, her ankle is seen briefly in Girls Versus Suits, and she gets her first proper appearance in Something New, after which she appears throughout Season 9."
45,113,"Ted eventually acquires the yellow umbrella in No Tomorrow (after the Mother leaves it behind at the St. Patrick's Day party, as seen in How Your Mother Met Me), and leaves it in Cindy's and the Mother's apartment in Girls Versus Suits. The umbrella is also seen/referenced in many other episodes, including Right Place, Right Time, Big Days, and Farhampton.
This is the Mother's first on-screen appearance with the yellow umbrella. Previously she appeared in Lucky Penny, with her head obscured by a bridal veil. She is seen again in No Tomorrow, again hidden by the umbrella, her ankle is seen briefly in Girls Versus Suits, and she gets her first proper appearance in Something New, after which she appears throughout Season 9."
45,161,"Ted eventually acquires the yellow umbrella in No Tomorrow (after the Mother leaves it behind at the St. Patrick's Day party, as seen in How Your Mother Met Me), and leaves it in Cindy's and the Mother's apartment in Girls Versus Suits. The umbrella is also seen/referenced in many other episodes, including Right Place, Right Time, Big Days, and Farhampton.
This is the Mother's first on-screen appearance with the yellow umbrella. Previously she appeared in Lucky Penny, with her head obscured by a bridal veil. She is seen again in No Tomorrow, again hidden by the umbrella, her ankle is seen briefly in Girls Versus Suits, and she gets her first proper appearance in Something New, after which she appears throughout Season 9."
45,37,"Ted eventually acquires the yellow umbrella in No Tomorrow (after the Mother leaves it behind at the St. Patrick's Day party, as seen in How Your Mother Met Me), and leaves it in Cindy's and the Mother's apartment in Girls Versus Suits. The umbrella is also seen/referenced in many other episodes, including Right Place, Right Time, Big Days, and Farhampton.
This is the Mother's first on-screen appearance with the yellow umbrella. Previously she appeared in Lucky Penny, with her head obscured by a bridal veil. She is seen again in No Tomorrow, again hidden by the umbrella, her ankle is seen briefly in Girls Versus Suits, and she gets her first proper appearance in Something New, after which she appears throughout Season 9."
45,184,"Ted eventually acquires the yellow umbrella in No Tomorrow (after the Mother leaves it behind at the St. Patrick's Day party, as seen in How Your Mother Met Me), and leaves it in Cindy's and the Mother's apartment in Girls Versus Suits. The umbrella is also seen/referenced in many other episodes, including Right Place, Right Time, Big Days, and Farhampton.
This is the Mother's first on-screen appearance with the yellow umbrella. Previously she appeared in Lucky Penny, with her head obscured by a bridal veil. She is seen again in No Tomorrow, again hidden by the umbrella, her ankle is seen briefly in Girls Versus Suits, and she gets her first proper appearance in Something New, after which she appears throughout Season 9."
45,37,"This is the Mother's first on-screen appearance with the yellow umbrella. Previously she appeared in Lucky Penny, with her head obscured by a bridal veil. She is seen again in No Tomorrow, again hidden by the umbrella, her ankle is seen briefly in Girls Versus Suits, and she gets her first proper appearance in Something New, after which she appears throughout Season 9."
45,184,"This is the Mother's first on-screen appearance with the yellow umbrella. Previously she appeared in Lucky Penny, with her head obscured by a bridal veil. She is seen again in No Tomorrow, again hidden by the umbrella, her ankle is seen briefly in Girls Versus Suits, and she gets her first proper appearance in Something New, after which she appears throughout Season 9."
45,63,"Marshall makes other home-made websites in Everything Must Go (lilyandmarshallselltheirstuff.com) and The Sexless Innkeeper (itwasthebestnightever.com), where Lily and Future Ted mention it being a problem."
45,92,"Marshall makes other home-made websites in Everything Must Go (lilyandmarshallselltheirstuff.com) and The Sexless Innkeeper (itwasthebestnightever.com), where Lily and Future Ted mention it being a problem."
196,204,Lily says that she can keep a secret. We will learn that she is hiding a pregnancy in Daisy.
